category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Filaments,white-tpu-filament,White TPU Filament,-,"Approx 50g required, for feet",https://s.click.aliexpress.com/e/_c3HBKl3V,https://geni.us/XPB98,,,https://s.click.aliexpress.com/e/_c3HBKl3V | https://geni.us/XPB98
Tools,crimp-tool,Crimp Tool,1,,https://s.click.aliexpress.com/e/_c4VtpJeL,https://geni.us/RH6Ac9,,,https://s.click.aliexpress.com/e/_c4VtpJeL | https://geni.us/RH6Ac9
Tools,hex-key-set,Hex Key set,1,,https://s.click.aliexpress.com/e/_c3rvP1lh,https://geni.us/BufZGm,,,https://s.click.aliexpress.com/e/_c3rvP1lh | https://geni.us/BufZGm
Tools,soldering-iron,Soldering Iron,1,,https://s.click.aliexpress.com/e/_c4sOxkox,https://geni.us/Drzhe7o,,,https://s.click.aliexpress.com/e/_c4sOxkox | https://geni.us/Drzhe7o
Tools,wire-cutter,Wire cutter,1,,https://s.click.aliexpress.com/e/_c2yogYf1,https://geni.us/TFzOR4,,,https://s.click.aliexpress.com/e/_c2yogYf1 | https://geni.us/TFzOR4
Tools,wire-stripper,Wire stripper,1,,,https://geni.us/SvNtLpP,,,https://geni.us/SvNtLpP
Tools,precision-screwdriver-set,Precision Screwdriver Set,1,,https://s.click.aliexpress.com/e/_c3bHpwH9,https://geni.us/Kk4tgSV,,,https://s.click.aliexpress.com/e/_c3bHpwH9 | https://geni.us/Kk4tgSV
Tools,heat-insert-set,Heat insert set,1,,https://s.click.aliexpress.com/e/_c4PpqBn5,https://geni.us/v1c6n,,,https://s.click.aliexpress.com/e/_c4PpqBn5 | https://geni.us/v1c6n
Tools,heat-insert-tip-set,Heat insert tip - set,1,,https://s.click.aliexpress.com/e/_c4V88eu7,https://geni.us/AiMMC,,,https://s.click.aliexpress.com/e/_c4V88eu7 | https://geni.us/AiMMC
Tools,soldering-iron-ts101,Soldering Iron TS101,1,,https://s.click.aliexpress.com/e/_c2QmV6QP,https://geni.us/rPNNHLD,,,https://s.click.aliexpress.com/e/_c2QmV6QP | https://geni.us/rPNNHLD
Tools,heat-insert-kit,Heat Insert Kit,1,,https://s.click.aliexpress.com/e/_c3sFn62n,https://geni.us/zLAQ,,,https://s.click.aliexpress.com/e/_c3sFn62n | https://geni.us/zLAQ
